month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202311,West Virginia,WV,236500,-0.0115,0.0606,3200,0.002,-0.0319,55,0.0481,-0.0992,1382,-0.1501,0.078,66,0.375,2,890,-0.1376,0.0934,2105,-0.0479,0.0867,128,0.0084,0.0683,1792,-0.0036,0.0188,313349,-0.0139,0.0868,5297,-0.0178,0.0105,0.6579,-0.0345,0.0718,0
202311,Florida,FL,462623,-0.0099,0.0168,109376,0.0951,0.2202,56,0.0091,-0.0826,39672,-0.027,0.1758,2422,0.067,0.4065,41524,0.0559,0.1563,40241,-0.068,-0.1015,277,-0.0022,0.046,1676,-0.0042,-0.027,934764,0.006,0.0428,149657,0.047,0.1144,0.3679,-0.0644,-0.1317,0
202311,Massachusetts,MA,749450,-0.0261,0.1128,8094,-0.0139,-0.0749,41,0.1884,-0.0465,4754,-0.2092,-0.0092,80,-0.0244,0.3333,2634,-0.1191,-0.1712,1796,-0.1022,-0.1338,409,-0.0145,0.089,1853,-0.0141,0.0294,1373758,-0.0255,0.1797,9869,-0.0328,-0.0854,0.2219,-0.0218,-0.0151,0
202311,Oklahoma,OK,299000,-0.0023,0.0468,11194,0.0344,0.1432,56,0.0472,-0.0263,4226,-0.0924,0.0634,172,0.0617,0.8696,3546,-0.1279,0.0554,4730,-0.0785,-0.0653,157,-0.0067,0.0389,1900,-0.0013,0.005,394178,-0.005,0.0513,15907,-0.0022,0.0718,0.4225,-0.0518,-0.0943,0
202311,Alabama,AL,325000,-0.0129,0.036,15055,0.0327,0.1736,58,0.055,0.0088,5328,-0.1379,0.023,320,0.0323,-0.1304,4424,-0.0694,0.0385,4829,-0.0299,0.0236,162,-0.0006,0.0673,1946,-0.0066,-0.0236,436309,-0.0108,0.0684,19847,0.0172,0.1327,0.3208,-0.0207,-0.047,0
202311,South Dakota,SD,364750,-0.0139,0.0141,2384,0.0091,0.1267,54,-0.036,0.0594,736,-0.109,0.1909,14,0.75,0.1667,472,-0.1834,0.1859,833,-0.15,0.8677,203,0.0043,0.0936,1836,-0.0124,-0.015,490579,-0.0187,0.0718,3235,-0.0285,0.2647,0.3494,-0.0654,0.1386,0
202311,Louisiana,LA,279000,-0.0016,-0.0036,13730,0.0176,0.2505,72,0.0288,0.0833,3560,-0.1206,0.0428,98,0.0426,-0.1404,3672,-0.1449,0.0379,3961,-0.0418,-0.1096,151,-0.0039,0.0211,1871,-0.0045,-0.0194,371403,-0.007,-0.0025,17697,0.0049,0.1484,0.2885,-0.0179,-0.1167,0
202311,Georgia,GA,393450,-0.0131,0.0219,29859,0.0335,-0.0084,48,0.0435,-0.0769,12256,-0.0825,0.0452,718,-0.204,0.1506,9892,-0.0896,-0.2019,13326,-0.0658,-0.0918,185,0.0001,0.0353,2140,-0.0104,-0.0153,555247,-0.0052,0.0766,42893,0.0027,-0.0345,0.4463,-0.0474,-0.041,0
202311,Washington,WA,627475,-0.023,0.033,13762,0.0427,-0.0294,53,0.1538,0.0396,5328,-0.2162,0.0298,314,0.256,1.1507,4534,-0.1445,-0.2273,7501,0.007,0.0606,322,-0.0057,0.024,2013,-0.0143,0.0146,870057,-0.0351,0.0475,21200,0.0272,-0.0012,0.5451,-0.0193,0.0463,0
202311,Wisconsin,WI,355950,-0.011,0.0472,10041,-0.0369,0.011,45,0.1111,-0.0323,4260,-0.2046,0.0812,76,-0.2245,0.1515,2834,-0.2223,0.0809,4479,-0.1076,0.2075,195,0.005,0.0711,1786,-0.0011,0.0093,457878,-0.0025,0.0833,14461,-0.0599,0.0643,0.446,-0.0353,0.0726,0
202311,Michigan,MI,269900,-0.0272,0.0647,18718,0.0006,-0.0974,46,0.046,-0.0421,9550,-0.1347,0.0136,182,-0.1947,0.046,6424,-0.0885,-0.157,12079,-0.0794,0.5909,168,-0.0172,0.0608,1568,-0.0148,-0.0104,399588,-0.0255,0.0964,30686,-0.0346,0.0855,0.6453,-0.0561,0.2792,0
202311,Kentucky,KY,299000,-0.003,0.0494,8475,0.0383,0.0465,51,0.0851,-0.0286,3790,-0.0955,0.0464,112,0.2174,0.5135,2988,-0.0586,0.0275,4644,-0.082,-0.07,161,0.0055,0.0701,1841,-0.0162,-0.0194,371106,-0.0087,0.0049,13101,-0.0073,-0.0021,0.5479,-0.0719,-0.0686,0
202311,Maine,ME,429000,-0.001,0.1319,3324,-0.0458,0.0841,59,0.2826,-0.0084,1438,-0.1358,0.1504,18,0,0.125,972,-0.1383,0.2558,737,-0.0941,0.0529,256,-0.0192,0.1054,1720,0.0137,0.0299,657937,0.0001,0.1514,4064,-0.0555,0.0793,0.2216,-0.0118,-0.0066,0
202311,Minnesota,MN,378950,-0.0194,0.0382,11385,-0.0432,0.0648,49,0.1264,-0.0101,4678,-0.2635,0.091,168,-0.1064,0.5,3882,-0.1979,-0.0471,6454,-0.1594,-0.046,194,-0.0009,0.0233,1975,-0.0191,0.0159,494005,-0.0098,0.0541,17813,-0.0901,0.0221,0.5669,-0.0783,-0.0658,0
202311,Delaware,DE,489900,-0.0182,0.0791,2134,0.0223,-0.0245,50,0.0761,-0.0198,1128,-0.0473,0.0406,96,0.0667,0.2308,758,0.008,0.047,1700,-0.0433,-0.1106,229,-0.0063,0.0725,2127,-0.0225,0.0172,625233,-0.0207,0.1076,3827,-0.0091,-0.0665,0.7968,-0.0546,-0.0772,0
202311,South Carolina,SC,359450,-0.0013,0.0212,17216,0.0483,0.0574,51,0.0202,-0.0901,7352,-0.0625,0.0411,456,-0.0694,0.1176,6904,-0.0733,-0.0637,9654,-0.079,0.0858,201,-0.0028,0.0711,1840,-0.0078,-0.0709,554546,-0.0111,0.0536,26810,-0.0009,0.0673,0.5607,-0.0775,0.0146,0
202311,Iowa,IA,286154,-0.0283,0.0256,7928,0.0147,0.0583,54,0.0286,-0.0357,3210,-0.069,0.1375,234,0.1038,0.1143,2790,-0.1677,-0.0265,3885,-0.0937,-0.0136,170,-0.0106,0.0278,1622,-0.0061,0.0106,342125,-0.0637,0.0436,11734,-0.023,0.0323,0.4901,-0.0586,-0.0357,0
202311,Nebraska,NE,343750,-0.0036,0.0407,4272,0.0394,0.1623,46,0.0698,-0.0417,1812,-0.1445,0.1468,78,-0.25,-0.1136,1066,-0.0616,0.0878,2325,-0.0846,-0.0722,166,0.0073,0.0301,2142,0.0029,0.0074,402970,-0.0071,0.067,6600,-0.0057,0.0662,0.5443,-0.0738,-0.1376,0
202311,Kansas,KS,289987,-0.0168,0.0377,5854,0.0202,0.1183,54,0.07,0.019,2834,-0.0951,0.0959,88,-0.1538,-0.551,1804,-0.1385,0.0789,3249,-0.0782,-0.1308,145,-0.007,0.0361,2027,-0.0088,0.009,389177,-0.0098,0.0056,9119,-0.013,0.0175,0.555,-0.0592,-0.1591,0
202311,New Mexico,NM,385975,-0.0026,0.0474,4434,0.0023,0.0061,64,0.024,0.0079,1700,-0.1466,-0.0219,110,0.1957,1.037,1272,-0.1228,-0.0393,1974,-0.0953,0.1184,197,-0.0025,0.0658,1998,-0.0017,0.0093,597442,0.0039,0.1093,6388,-0.0256,0.0342,0.4452,-0.048,0.0447,0
202311,Ohio,OH,250000,-0.0381,0.1114,16318,0.0243,-0.0178,41,0.1096,-0.0471,10406,-0.1171,0.0272,176,-0.0737,0.0115,7428,-0.0308,-0.0249,12382,-0.0761,-0.0729,144,-0.0031,0.1041,1728,-0.0117,0.0255,344993,-0.0223,0.1127,28637,-0.0191,-0.0429,0.7588,-0.0824,-0.0451,0
202311,Tennessee,TN,439000,-0.0079,0.0452,21731,0.0449,0.0762,48,0.0787,0.0323,8610,-0.0662,0.0182,360,0.2414,0.4876,8444,-0.0476,-0.0463,8121,-0.0603,-0.0643,226,-0.0016,0.0562,2056,-0.0134,-0.008,641152,-0.0096,0.0701,29839,0.0143,0.0359,0.3737,-0.0418,-0.0561,0
202311,District of Columbia,DC,649000,-0.0166,-0.0014,1978,-0.0403,-0.0641,50,0.2595,0.0585,566,-0.3372,-0.1652,22,0.1,0.2222,634,-0.1194,-0.0094,837,0.0239,0.1094,540,0.0014,0.017,1370,0.0062,0.0373,1022862,0.0234,0.0915,2815,-0.0216,-0.0133,0.423,0.0265,0.0662,0
202311,Pennsylvania,PA,289514,-0.024,0.0452,20900,0.0123,-0.0523,50,0.0753,-0.1071,10584,-0.1217,0.0485,374,-0.0459,-0.4101,7818,-0.0528,-0.0343,13583,-0.0437,-0.0413,176,-0.0043,0.049,1682,-0.0115,-0.0053,430938,-0.011,0.0611,34356,-0.0162,-0.0507,0.6499,-0.038,0.0075,0
202311,New Jersey,NJ,529450,-0.0195,0.1053,13295,-0.0006,-0.2017,43,0.1026,-0.1569,6844,-0.1396,-0.015,244,-0.1757,0.1731,2852,-0.0537,-0.2569,9707,-0.0586,-0.1286,281,-0.0052,0.055,1714,-0.0144,0.0041,838859,-0.0183,0.1259,22844,-0.0222,-0.1719,0.7302,-0.0449,0.0612,0
202311,Virginia,VA,430373,-0.0042,0.015,14063,0.0038,-0.0367,44,0.0875,-0.0225,7654,-0.1149,0.017,344,-0.1848,0.2199,4846,-0.0738,-0.0762,8739,-0.0435,-0.0418,215,-0.0005,0.0345,2020,-0.0005,0.0087,629712,0.0024,0.0427,22684,-0.0124,-0.0408,0.6214,-0.0307,-0.0033,0
202311,Idaho,ID,560475,0.0063,0.0626,6423,-0.1042,-0.1841,65,0.0744,-0.0714,2052,-0.1535,-0.0172,158,0.4364,0.4906,1968,-0.2921,-0.3796,2897,-0.0939,0.1076,276,-0.002,0.0569,2131,-0.0028,0.0047,869910,0.0024,0.1286,9302,-0.101,-0.1121,0.451,0.0051,0.1188,0
202311,North Carolina,NC,402500,-0.0287,0.0063,25049,0.0472,0.027,51,0.0745,-0.0734,11888,-0.0799,0.0762,686,0.0331,0.2704,9400,-0.0299,-0.1455,17118,-0.0694,-0.1358,215,-0.0026,0.0469,1983,-0.0149,-0.0418,588219,-0.0206,0.0645,42089,-0.0056,-0.0466,0.6834,-0.0857,-0.1288,0
202311,Indiana,IN,280000,-0.0252,0.0409,12796,0.0271,0.0663,46,0.122,0,6590,-0.1197,-0.0009,146,-0.2474,0.3774,6096,-0.109,0.0725,6618,-0.079,0.3207,147,0.0005,0.0656,1904,-0.016,-0.0063,357421,-0.0152,0.034,19422,-0.0098,0.1427,0.5172,-0.0596,0.0996,0
202311,Hawaii,HI,849500,-0.0006,0.0024,3611,0.0663,0.0397,62,0.0164,0.0248,1256,-0.0309,-0.0669,32,0.1429,0.1429,784,0.0595,-0.0862,1477,-0.0381,-0.0696,695,0.0072,0.0427,1240,0.0012,-0.0217,1611788,0.0036,0.0621,5081,0.0331,0.0042,0.4089,-0.0444,-0.0481,0
202311,Mississippi,MS,275950,0.0035,-0.0002,6891,0.0485,0.2155,64,0.0802,-0.0229,2388,-0.0486,0.0855,76,-0.1364,0,2064,-0.0947,0.1821,2839,-0.0629,-0.0279,139,0.0108,0.0589,1945,-0.0029,-0.048,336589,0.0084,0.0114,9688,0.0092,0.1268,0.4119,-0.0489,-0.1031,0
202311,Vermont,VT,483563,0.0029,0.1259,1315,-0.0499,0.0592,57,0.1813,-0.1298,480,-0.2638,0.0526,0,-1,-1,254,-0.3316,-0.0155,440,-0.1698,-0.1611,245,-0.0003,0.0886,2014,-0.0232,-0.0006,810012,0.007,0.1421,1755,-0.0831,-0.0062,0.3347,-0.0484,-0.0879,0
202311,Arkansas,AR,299000,0.0205,0.068,8998,0.0065,0.14,59,0.0263,0.0935,3230,-0.1028,0.0267,180,1.0455,0.3846,2530,-0.0474,0.1155,3507,-0.089,-0.0394,154,0.0198,0.0759,1898,-0.0018,-0.0011,387772,0.012,0.0316,12391,-0.0226,0.0813,0.3898,-0.0409,-0.0728,0
202311,Texas,TX,370000,-0.0133,-0.016,92941,0.0127,0.1192,58,0.0748,0.0455,29574,-0.0951,0.0302,2078,0.0078,0.0097,32640,-0.1102,-0.0758,28430,-0.0731,-0.1043,186,-0.006,0.0063,2016,-0.0052,-0.0163,533757,-0.0078,0.0241,121061,-0.0099,0.0566,0.3059,-0.0283,-0.0763,0
202311,New Hampshire,NH,549900,-0.0001,0.0938,2031,-0.0472,-0.0525,42,0.1575,-0.0815,1174,-0.2337,-0.0233,26,-0.35,1.6,590,-0.1713,-0.0514,1003,-0.06,-0.0815,287,0.0067,0.1044,1988,0.0004,0.004,768575,0.0122,0.1189,3031,-0.0501,-0.062,0.4937,-0.0067,-0.0156,0
202311,Connecticut,CT,499000,-0.0018,0.0619,4234,-0.0156,-0.1801,45,0.0988,-0.0729,2726,-0.1274,0.0485,42,-0.25,-0.1923,1116,-0.0638,-0.258,4874,-0.05,-0.1304,245,-0.0097,0.0626,2042,-0.0199,-0.0133,1059545,-0.0107,-0.0022,9047,-0.0401,-0.1582,1.1512,-0.0417,0.0658,0
202311,Illinois,IL,304500,-0.0393,0.0779,19574,-0.0028,-0.1825,43,0.1169,-0.0652,10174,-0.0988,0.0539,162,-0.1474,0.0519,6292,-0.0642,-0.197,13709,-0.0886,-0.0585,174,-0.0187,0.0501,1715,-0.0115,0.026,464888,-0.0218,0.1056,33245,-0.0372,-0.136,0.7004,-0.0659,0.0922,0
202311,Oregon,OR,550000,-0.0265,0.0148,10849,-0.0428,0.0464,63,0.0684,0.0684,3472,-0.1263,0.0383,252,0.2475,0.7746,3468,-0.2057,-0.1492,4524,-0.0938,-0.0522,304,-0.0024,0.0227,1885,-0.0108,0.0103,740959,-0.0066,0.0208,15295,-0.0611,0.0136,0.417,-0.0235,-0.0434,0
202311,Arizona,AZ,493495,-0.0119,0.067,19081,0.0877,-0.2298,44,0.0233,-0.2414,8608,-0.099,0.0591,634,-0.1409,0.5167,8824,-0.0471,-0.3903,8036,-0.0454,-0.0586,269,-0.0031,0.0362,1929,-0.0113,0.0272,785693,0.001,0.168,27157,0.0457,-0.1845,0.4211,-0.0587,0.0766,0
202311,California,CA,749500,-0.0093,0.0709,46118,0.0046,-0.1772,47,0.093,-0.0962,23016,-0.119,0.0464,1238,-0.0884,0.2842,13862,-0.0897,-0.3343,23585,-0.0681,0.0164,455,-0.0103,0.0752,1780,-0.0034,0.0171,1518578,-0.0004,0.1745,69426,-0.0211,-0.1228,0.5114,-0.0399,0.0974,0
202311,Alaska,AK,389725,-0.0232,-0.0232,1462,-0.0485,0.0782,73,0.187,0.0657,410,-0.3167,-0.0284,14,-0.4167,0.75,300,-0.3776,-0.0854,808,-0.1451,10.875,236,0.0049,0.0576,1731,-0.0205,-0.07,466177,-0.0168,-0.0052,2267,-0.0859,0.5937,0.5523,-0.0624,0.5022,0
202311,Wyoming,WY,442450,-0.0168,0.029,2067,-0.0507,0.0966,72,0.144,0.0672,532,-0.1988,-0.0327,8,3,-0.2,346,-0.2996,-0.1307,400,-0.148,-0.0037,187,-0.0154,0.0306,2296,0.0026,-0.0235,957926,-0.0706,0.0403,2449,-0.0674,0.076,0.1935,-0.0221,-0.0195,0
202311,Maryland,MD,414950,-0.0236,0.0376,9079,0.0281,-0.09,40,0.0676,-0.092,5852,-0.0955,0.0216,410,0.0677,-0.0682,3408,-0.1083,-0.1531,7256,-0.0217,-0.0795,224,-0.0034,0.0511,1869,-0.0215,0.0048,574342,-0.0343,0.0795,16286,-0.0008,-0.0847,0.7992,-0.0407,0.0091,0
202311,Missouri,MO,289900,-0.0202,0.0441,14279,0.0276,0.0539,50,0.087,-0.0196,6680,-0.1002,0.0809,234,-0.2595,1.3878,5282,-0.1158,0.0718,7714,-0.0673,-0.0573,160,-0.003,0.0544,1764,-0.0195,-0.0031,385310,-0.0129,0.0556,21950,-0.0089,0.0111,0.5402,-0.055,-0.0637,0
202311,Utah,UT,597000,-0.0033,0.0556,9798,-0.026,-0.0852,61,0.1091,-0.0394,2938,-0.1715,-0.0424,300,-0.0741,0.4851,3818,-0.1133,-0.2284,4166,-0.0724,-0.1148,252,0.0003,0.0418,2503,-0.0001,0.0346,959512,0.0021,0.0932,13896,-0.0422,-0.0979,0.4252,-0.0213,-0.0142,0
202311,Rhode Island,RI,518500,-0.0278,0.0916,1261,0.0248,-0.0892,36,0.0588,-0.04,780,-0.1667,-0.0888,6,-0.25,-0.5,332,-0.0405,-0.2751,1306,-0.0608,-0.1077,295,-0.0196,-0.0209,1818,-0.0173,0.1282,945784,-0.047,0.1773,2561,-0.0205,-0.0971,1.0353,-0.0943,-0.0214,0
202311,New York,NY,632500,0.004,0.0559,36365,0.0121,-0.0543,63,0.0246,-0.0602,11482,-0.155,0.0314,332,-0.0778,0.2868,6636,-0.1085,-0.1625,17259,-0.0475,-0.0786,369,0.0115,0.0534,1620,0.0008,0.0214,1501073,0.0458,0.0766,53253,-0.0034,-0.0636,0.4746,-0.0297,-0.0125,0
